ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P17174,"Aspartate aminotransferase, cytoplasmic",GOT1,179067,M37400,P17174,AATC_HUMAN,,GOT1,GOT1,HGNC:4432,Human,DB00128; DB00151
P02768,Serum albumin,ALB,28590,V00494,P02768,ALBU_HUMAN,,ALB,ALB,HGNC:399,Human,DB00199; DB00493; DB00512; DB01045
O14646,Chromodomain-helicase-DNA-binding protein 1,CHD1,2645429,AF006513,O14646,CHD1_HUMAN,,CHD1,CHD1,HGNC:1915,Human,DB00445
P28335,5-hydroxytryptamine receptor 2C,HTR2C,338028,M81778,P28335,5HT2C_HUMAN,,HTR2C,HTR2C,HGNC:5295,Human,DB00193; DB00246; DB00247; DB00248; DB00268; DB00321; DB00334; DB00363; DB00370; DB00408; DB00413; DB00420; DB00434; DB00458; DB00477; DB00540; DB00543; DB00589; DB00656; DB00696; DB00714; DB00726; DB00734; DB00777; DB00805; DB00934; DB01142; DB01149; DB01151; DB01186; DB01191; DB01200; DB01224; DB01238; DB01239; DB01242; DB01267; DB01392; DB01403; DB04871; DB06144; DB06148; DB06216; DB06594; DB09014
O60391,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,3025446,AC004528,O60391,NMD3B_HUMAN,,GRIN3B,GRIN3B,HGNC:16768,Human,DB00145; DB01159; DB01173
P22748,Carbonic anhydrase 4,CA4,179791,M83670,P22748,CAH4_HUMAN,,CA4,CA4,HGNC:1375,Human,DB00232; DB00273; DB00436; DB00562; DB00606; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB00999; DB01021; DB01144; DB01194
Q7Z2H8,Proton-coupled amino acid transporter 1,SLC36A1,31324239,AF516142,Q7Z2H8,S36A1_HUMAN,,SLC36A1,SLC36A1,HGNC:18761,Human,DB00145; DB00160
P02671,Fibrinogen alpha chain,FGA,13591824,AF361104,P02671,FIBA_HUMAN,,FGA,FGA,HGNC:3661,Human,DB00009; DB00015; DB00029; DB00031; DB00364
P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1,177767,M32313,P18405,S5A1_HUMAN,,SRD5A1,SRD5A1,HGNC:11284,Human,DB00367; DB01126; DB01216
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,312812,X73424,P05166,PCCB_HUMAN,,PCCB,PCCB,HGNC:8654,Human,DB00121; DB00161
P09884,DNA polymerase alpha catalytic subunit,POLA1,35568,X06745,P09884,DPOLA_HUMAN,,POLA1,POLA1,HGNC:9173,Human,DB00242; DB00631; DB01073; DB01280
P22891,Vitamin K-dependent protein Z,PROZ,190464,M55670,P22891,PROZ_HUMAN,,PROZ,PROZ,HGNC:9460,Human,DB00170
P00363,Fumarate reductase flavoprotein subunit,frdA,145263,J01611,P00363,FRDA_ECOLI,,,,,Escherichia coli (strain K12),DB00730
Q12791,Calcium-activated potassium channel subunit alpha-1,KCNMA1,537439,U13913,Q12791,KCMA1_HUMAN,,KCNMA1,KCNMA1,HGNC:6284,Human,DB00356; DB00436; DB00774; DB00999; DB01003; DB01110; DB01119; DB01159
P00352,Retinal dehydrogenase 1,ALDH1A1,178372,M31994,P00352,AL1A1_HUMAN,,ALDH1A1,ALDH1A1,HGNC:402,Human,DB00162; DB00755
Q05486,Protein P,P,59427,X69798,Q05486,DPOL_HBVF1,,,,,HBV-F,DB00709; DB01265
P16066,Atrial natriuretic peptide receptor 1,NPR1,28230,X15357,P16066,ANPRA_HUMAN,,NPR1,NPR1,HGNC:7943,Human,DB00325; DB00727; DB00883; DB01612; DB01613; DB04899
P06401,Progesterone receptor,PGR,35652,X51730,P06401,PRGR_HUMAN,,PGR,PGR,HGNC:8910,Human,DB00294; DB00304; DB00351; DB00367; DB00378; DB00396; DB00421; DB00588; DB00603; DB00717; DB00823; DB00834; DB00957; DB01395; DB01406; DB01431; DB06713
P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase 3,fabH,145898,M77744,P0A6R0,FABH_ECOLI,,,,,Escherichia coli (strain K12),DB01034
P08172,Muscarinic acetylcholine receptor M2,CHRM2,177990,M16404,P08172,ACM2_HUMAN,,CHRM2,CHRM2,HGNC:1951,Human,DB00202; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00363; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00483; DB00496; DB00508; DB00517; DB00540; DB00572; DB00622; DB00715; DB00725; DB00728; DB00747; DB00777; DB00785; DB00804; DB00809; DB00835; DB00907; DB00934; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01135; DB01142; DB01148; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01336; DB01337; DB01338; DB01403; DB01409; DB01591; DB06702; DB08801; DB08897; DB09076
Q9NSD9,Phenylalanine--tRNA ligase beta subunit,FARSB,7768938,D84430,Q9NSD9,SYFB_HUMAN,,FARSLB,FARSLB,HGNC:17800,Human,DB00120
P52569,Low affinity cationic amino acid transporter 2,SLC7A2,849051,D29990,P52569,CTR2_HUMAN,,SLC7A2,SLC7A2,HGNC:11060,Human,DB00123; DB00129
P13922,Bifunctional dihydrofolate reductase-thymidylate synthase,"",160260,M22159,P13922,DRTS_PLAFK,,,,,Plasmodium falciparum (isolate K1 / Thailand),DB00205; DB01131; DB01299
P29166,Iron hydrogenase 1,"",144836,M81737,P29166,PHF1_CLOPA,,,,,Clostridium pasteurianum,DB00916
P14778,Interleukin-1 receptor type 1,IL1R1,33801,X16896,P14778,IL1R1_HUMAN,,IL1R1,IL1R1,HGNC:5993,Human,DB00026
Q9NWM0,Spermine oxidase,SMOX,14860862,AY033889,Q9NWM0,SMOX_HUMAN,,SMOX,SMOX,HGNC:15862,Human,DB00127
Q14353,Guanidinoacetate N-methyltransferase,GAMT,1212946,Z49878,Q14353,GAMT_HUMAN,,GAMT,GAMT,HGNC:4136,Human,DB00148; DB00536
Q04609,Glutamate carboxypeptidase 2,FOLH1,190664,M99487,Q04609,FOLH1_HUMAN,,FOLH1,FOLH1,HGNC:3788,Human,DB00089
Q16878,Cysteine dioxygenase type 1,CDO1,467561,Z31357,Q16878,CDO1_HUMAN,,CDO1,CDO1,HGNC:1795,Human,DB00151
Q92781,11-cis retinol dehydrogenase,RDH5,1616654,U43559,Q92781,RDH1_HUMAN,,RDH5,RDH5,HGNC:9940,Human,DB00162
P18089,Alpha-2B adrenergic receptor,ADRA2B,178198,M34041,P18089,ADA2B_HUMAN,,ADRA2B,ADRA2B,HGNC:282,Human,DB00246; DB00248; DB00268; DB00292; DB00334; DB00363; DB00368; DB00408; DB00413; DB00457; DB00484; DB00575; DB00589; DB00629; DB00668; DB00696; DB00697; DB00714; DB00726; DB00734; DB00797; DB00800; DB00925; DB00935; DB00964; DB01018; DB01136; DB01142; DB01186; DB01200; DB01224; DB01238; DB01267; DB01363; DB01392; DB01403; DB01577; DB04855; DB05271; DB06148; DB06216; DB06262; DB06694
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,531391,U12778,P45954,ACDSB_HUMAN,,ACADSB,ACADSB,HGNC:91,Human,DB00167; DB00313
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,306865,M11058,P04035,HMDH_HUMAN,,HMGCR,HMGCR,HGNC:5006,Human,DB00175; DB00227; DB00641; DB01076; DB01095; DB01098; DB08860
P35368,Alpha-1B adrenergic receptor,ADRA1B,,M99589,P35368,ADA1B_HUMAN,,ADRA1B,ADRA1B,HGNC:278,Human,DB00211; DB00246; DB00248; DB00298; DB00321; DB00334; DB00346; DB00363; DB00368; DB00388; DB00408; DB00420; DB00457; DB00458; DB00477; DB00540; DB00575; DB00590; DB00622; DB00668; DB00679; DB00696; DB00706; DB00723; DB00726; DB00734; DB00745; DB00777; DB00800; DB00925; DB00935; DB01136; DB01142; DB01149; DB01162; DB01186; DB01200; DB01224; DB01238; DB01255; DB01267; DB01403; DB01576; DB01579; DB01608; DB01614; DB01622; DB04855; DB06144; DB06207; DB06262; DB06694; DB09128
Q8XJ01,Penicillin-binding protein 1A,pbpA,18145626,BA000016,Q8XJ01,PBPA_CLOPE,,,,,Clostridium perfringens (strain 13 / Type A),DB00229; DB00267; DB00301; DB00417; DB00456; DB00713; DB00833; DB00948; DB01000; DB01060; DB01061; DB01066; DB01112; DB01139; DB01147; DB01602; DB01604; DB01605
Q14534,Squalene monooxygenase,SQLE,2443316,D78130,Q14534,ERG1_HUMAN,,SQLE,SQLE,HGNC:11279,Human,DB00735; DB00857; DB01091
O43772,Mitochondrial carnitine/acylcarnitine carrier protein,SLC25A20,2765075,Y10319,O43772,MCAT_HUMAN,,SLC25A20,SLC25A20,HGNC:1421,Human,DB00583
P35462,D(3) dopamine receptor,DRD3,927342,U32499,P35462,DRD3_HUMAN,,DRD3,DRD3,HGNC:3024,Human,DB00246; DB00248; DB00268; DB00334; DB00363; DB00370; DB00391; DB00408; DB00409; DB00413; DB00477; DB00502; DB00543; DB00589; DB00714; DB00734; DB00988; DB01100; DB01184; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01392; DB01403; DB04946; DB05271; DB06016; DB06148; DB06216; DB06288; DB09014
P47895,Aldehyde dehydrogenase family 1 member A3,ALDH1A3,544482,U07919,P47895,AL1A3_HUMAN,,ALDH1A3,ALDH1A3,HGNC:409,Human,DB00162
P11485,Neuraminidase,NA,60811,X15281,P11485,NRAM_I83A1,,,,,Influenza A virus (strain A/Chile/1/1983 H1N1),DB00198
P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2,SRD5A2,338469,M74047,P31213,S5A2_HUMAN,,SRD5A2,SRD5A2,HGNC:11285,Human,DB00548; DB01126; DB01216
P02918,Penicillin-binding protein 1A,mrcA,581194,X02164,P02918,PBPA_ECOLI,,,,,Escherichia coli (strain K12),DB00274; DB00303; DB00430; DB00438; DB01327; DB01328; DB01329; DB01331; DB01332; DB01333; DB01414; DB01415; DB01598; DB04570
P13612,Integrin alpha-4,ITGA4,33946,X16983,P13612,ITA4_HUMAN,,ITGA4,ITGA4,HGNC:6140,Human,DB00108; DB06822; DB09033
P72059,Probable arabinosyltransferase C,embC,1552875,BX842584,P72059,EMBC_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
P42330,Aldo-keto reductase family 1 member C3,AKR1C3,4261711,S68288,P42330,AK1C3_HUMAN,,AKR1C3,AKR1C3,HGNC:386,Human,DB00905
Q8NBN7,Retinol dehydrogenase 13,RDH13,22761451,AK075392,Q8NBN7,RDH13_HUMAN,,RDH13,RDH13,HGNC:19978,Human,DB00162
P03200,Envelope glycoprotein GP350,BLLF1,1334868,V01555,P03200,GP350_EBVB9,,,,,HHV-4,DB00632
P30043,Flavin reductase (NADPH),BLVRB,1384068,D26308,P30043,BLVRB_HUMAN,,BLVRB,BLVRB,HGNC:1063,Human,DB00140
P06126,T-cell surface glycoprotein CD1a,CD1A,180036,M28825,P06126,CD1A_HUMAN,,CD1A,CD1A,HGNC:1634,Human,DB00098
P12235,ADP/ATP translocase 1,SLC25A4,339920,J02966,P12235,ADT1_HUMAN,,SLC25A4,SLC25A4,HGNC:10990,Human,DB00171; DB00720
Q9UP95,Solute carrier family 12 member 4,SLC12A4,1399212,U55054,Q9UP95,S12A4_HUMAN,,SLC12A4,SLC12A4,HGNC:10913,Human,DB00761; DB00887
Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial",ACAD8,6465955,AF126245,Q9UKU7,ACAD8_HUMAN,,ACAD8,ACAD8,HGNC:87,Human,DB03147
P48507,Glutamate--cysteine ligase regulatory subunit,GCLM,530137,L35546,P48507,GSH0_HUMAN,,GCLM,GCLM,HGNC:4312,Human,DB00151
O43776,"Asparagine--tRNA ligase, cytoplasmic",NARS,2764505,AJ000334,O43776,SYNC_HUMAN,,NARS,NARS,HGNC:7643,Human,DB00174
O95865,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",DDAH2,4454710,AF070667,O95865,DDAH2_HUMAN,,DDAH2,DDAH2,HGNC:2716,Human,DB00155
P43088,Prostaglandin F2-alpha receptor,PTGFR,456564,L24470,P43088,PF2R_HUMAN,,PTGFR,PTGFR,HGNC:9600,Human,DB00287; DB00654; DB00905; DB01160; DB08819
Q8WWT9,Solute carrier family 13 member 3,SLC13A3,8132324,AF154121,Q8WWT9,S13A3_HUMAN,,SLC13A3,SLC13A3,HGNC:14430,Human,DB00139
Q08210,"Dihydroorotate dehydrogenase (quinone), mitochondrial",PFF0160c,46362265,CR382398,Q08210,PYRD_PLAF7,,,,,Plasmodium falciparum (isolate 3D7),DB01117
O60294,Leucine carboxyl methyltransferase 2,LCMT2,40788285,AB011119,O60294,LCMT2_HUMAN,,LCMT2,LCMT2,HGNC:17558,Human,DB00149
P07101,Tyrosine 3-monooxygenase,TH,37127,Y00414,P07101,TY3H_HUMAN,,TH,TH,HGNC:11782,Human,DB00120; DB00135; DB00360; DB00765
P49585,Choline-phosphate cytidylyltransferase A,PCYT1A,575486,L28957,P49585,PCY1A_HUMAN,,PCYT1A,PCYT1A,HGNC:8754,Human,DB00122
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",MTHFD1,307178,J04031,P11586,C1TC_HUMAN,,MTHFD1,MTHFD1,HGNC:7432,Human,DB00116
P23378,"Glycine dehydrogenase [decarboxylating], mitochondrial",GLDC,190287,M63635,P23378,GCSP_HUMAN,,GLDC,GLDC,HGNC:4313,Human,DB00145
Q5L2G3,Uncharacterized oxidoreductase CzcO-like,GK0582,56378959,BA000043,Q5L2G3,CZCO_GEOKA,,,,,Geobacillus kaustophilus (strain HTA426),DB00845
P17117,Oxygen-insensitive NADPH nitroreductase,nfsA,609324,U18655,P17117,NFSA_ECOLI,,,,,Escherichia coli (strain K12),DB00698
P52895,Aldo-keto reductase family 1 member C2,AKR1C2,531160,U05598,P52895,AK1C2_HUMAN,,AKR1C2,AKR1C2,HGNC:385,Human,DB01586
P18031,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,190742,M31724,P18031,PTN1_HUMAN,,PTPN1,PTPN1,HGNC:9642,Human,DB01133
P12236,ADP/ATP translocase 3,SLC25A6,339723,J03592,P12236,ADT3_HUMAN,,SLC25A6,SLC25A6,HGNC:10992,Human,DB00720
Q02643,Growth hormone-releasing hormone receptor,GHRHR,183173,L01406,Q02643,GHRHR_HUMAN,,GHRHR,GHRHR,HGNC:4266,Human,DB00010; DB08869
Q13085,Acetyl-CoA carboxylase 1,ACACA,849083,U19822,Q13085,ACACA_HUMAN,,ACACA,ACACA,HGNC:84,Human,DB00121
Q9NP56,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B",PDE7B,8439497,AB038040,Q9NP56,PDE7B_HUMAN,,PDE7B,PDE7B,HGNC:8792,Human,DB00651; DB00920
P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,32089,X17648,P15509,CSF2R_HUMAN,,CSF2RA,CSF2RA,HGNC:2435,Human,DB00020
P68871,Hemoglobin subunit beta,HBB,455997,U01317,P68871,HBB_HUMAN,,HBB,HBB,HGNC:4827,Human,DB00893
P21430,Matrix protein 2,M,324265,M23978,P21430,M2_I60A0,,,,,Influenza A virus (strain A/Ann Arbor/6/1960 H2N2),DB00478; DB00915
Q9Y233,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",PDE10A,4958858,AB020593,Q9Y233,PDE10_HUMAN,,PDE10A,PDE10A,HGNC:8772,Human,DB00975; DB01113; DB08811; DB08814
P41145,Kappa-type opioid receptor,OPRK1,532060,U11053,P41145,OPRK_HUMAN,,OPRK1,OPRK1,HGNC:8154,Human,DB00193; DB00295; DB00318; DB00321; DB00327; DB00370; DB00396; DB00454; DB00497; DB00514; DB00611; DB00647; DB00652; DB00704; DB00708; DB00813; DB00825; DB00836; DB00844; DB00854; DB00899; DB00921; DB01183; DB01209; DB01221; DB01452; DB06148; DB06204; DB06274; DB06738; DB06800; DB09272
P09252,DNA polymerase catalytic subunit,ORF28,60016,X04370,P09252,DPOL_VZVD,,,,,HHV-3,DB00426; DB00787
P15056,Serine/threonine-protein kinase B-raf,BRAF,41387220,M95712,P15056,BRAF_HUMAN,,BRAF,BRAF,HGNC:1097,Human,DB00398; DB08881; DB08896; DB08912
Q8TDS4,Hydroxycarboxylic acid receptor 2,GPR109A,28975188,AY148884,Q8TDS4,HCAR2_HUMAN,,GPR109A,GPR109A,HGNC:24827,Human,DB00627
P30085,UMP-CMP kinase,CMPK1,6578133,AF070416,P30085,KCY_HUMAN,,CMPK,CMPK,HGNC:18170,Human,DB00441
P33121,Long-chain-fatty-acid--CoA ligase 1,ACSL1,219900,D10040,P33121,ACSL1_HUMAN,,ACSL1,ACSL1,HGNC:3569,Human,DB00131; DB00171
P42261,Glutamate receptor 1,GRIA1,183281,M64752,P42261,GRIA1_HUMAN,,GRIA1,GRIA1,HGNC:4571,Human,DB00228; DB00753; DB00898; DB01028; DB01189; DB01236; DB08883
Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,20372905,AJ416950,Q8TCU5,NMD3A_HUMAN,,GRIN3A,GRIN3A,HGNC:16767,Human,DB00193; DB00333; DB00392; DB00514; DB00721; DB00898; DB00915; DB00949; DB01043; DB01159; DB01161; DB01173; DB01221; DB06151
P08253,72 kDa type IV collagenase,MMP2,180671,J03210,P08253,MMP2_HUMAN,,MMP2,MMP2,HGNC:7166,Human,DB00786; DB01197
P48048,ATP-sensitive inward rectifier potassium channel 1,KCNJ1,529313,U12541,P48048,IRK1_HUMAN,,KCNJ1,KCNJ1,HGNC:6255,Human,DB00217; DB00222; DB00350; DB00839; DB01016; DB01124; DB01382
P87066,Tubulin alpha chain,TUB1,2055378,U38534,P87066,TBA_CANAX,,,,,Yeast,DB00400
Q01959,Sodium-dependent dopamine transporter,SLC6A3,553260,M96670,Q01959,SC6A3_HUMAN,,SLC6A3,SLC6A3,HGNC:11049,Human,DB00182; DB00191; DB00245; DB00285; DB00289; DB00370; DB00408; DB00422; DB00454; DB00458; DB00476; DB00543; DB00579; DB00721; DB00726; DB00745; DB00830; DB00852; DB00865; DB00907; DB00937; DB00988; DB01104; DB01105; DB01114; DB01146; DB01149; DB01156; DB01161; DB01175; DB01255; DB01363; DB01463; DB01576; DB01577; DB06148; DB06701
P00390,"Glutathione reductase, mitochondrial",GSR,31825,X15722,P00390,GSHR_HUMAN,,GSR,GSR,HGNC:4623,Human,DB00143; DB00262; DB03147
P34969,5-hydroxytryptamine receptor 7,HTR7,1857143,U68487,P34969,5HT7R_HUMAN,,HTR7,HTR7,HGNC:5302,Human,DB00216; DB00246; DB00247; DB00248; DB00321; DB00334; DB00363; DB00370; DB00408; DB00458; DB00477; DB00543; DB00751; DB00934; DB00988; DB01200; DB01224; DB01238; DB04946; DB06148; DB06216; DB06288; DB08815
P14784,Interleukin-2 receptor subunit beta,IL2RB,307048,M26062,P14784,IL2RB_HUMAN,,IL2RB,IL2RB,HGNC:6009,Human,DB00004; DB00041; DB00074; DB00111
P41439,Folate receptor gamma,FOLR3,473236,Z32564,P41439,FOLR3_HUMAN,,FOLR3,FOLR3,HGNC:3795,Human,DB00158
P49788,Retinoic acid receptor responder protein 1,RARRES1,942585,U27185,P49788,TIG1_HUMAN,,RARRES1,RARRES1,HGNC:9867,Human,DB00755
P19235,Erythropoietin receptor,EPOR,182245,M60459,P19235,EPOR_HUMAN,,EPOR,EPOR,HGNC:3416,Human,DB00012; DB00016; DB08894; DB08923
P47712,Cytosolic phospholipase A2,PLA2G4A,190007,M72393,P47712,PA24A_HUMAN,,PLA2G4A,PLA2G4A,HGNC:9035,Human,DB00588; DB01103; DB04552
P01589,Interleukin-2 receptor subunit alpha,IL2RA,33813,X01057,P01589,IL2RA_HUMAN,,IL2RA,IL2RA,HGNC:6008,Human,DB00004; DB00041; DB00074; DB00111
P28221,5-hydroxytryptamine receptor 1D,HTR1D,177772,M89955,P28221,5HT1D_HUMAN,,HTR1D,HTR1D,HGNC:5289,Human,DB00216; DB00246; DB00248; DB00268; DB00315; DB00320; DB00321; DB00334; DB00363; DB00408; DB00413; DB00589; DB00669; DB00696; DB00714; DB00726; DB00734; DB00918; DB00952; DB00953; DB00998; DB01186; DB01200; DB01224; DB01238; DB01267; DB01392
O15270,Serine palmitoyltransferase 2,SPTLC2,2564249,Y08686,O15270,SPTC2_HUMAN,,SPTLC2,SPTLC2,HGNC:11278,Human,DB00133
P17181,Interferon alpha/beta receptor 1,IFNAR1,306914,J03171,P17181,INAR1_HUMAN,,IFNAR1,IFNAR1,HGNC:5432,Human,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB05258
P10276,Retinoic acid receptor alpha,RARA,36157,X06614,P10276,RARA_HUMAN,,RARA,RARA,HGNC:9864,Human,DB00210; DB00459; DB00523; DB00799; DB00982; DB04942
O90777,HIV-1 protease,HIV-1 protease,4377614,AJ010714,O90777,O90777_9PLVG,,,,,Human immunodeficiency virus,DB00220
P36896,Activin receptor type-1B,ACVR1B,402189,Z22536,P36896,ACV1B_HUMAN,,ACVR1B,ACVR1B,HGNC:172,Human,DB00171
Q9NYX4,Neuron-specific vesicular protein calcyon,CALY,6980076,AF225903,Q9NYX4,CALY_HUMAN,,DRD1IP,DRD1IP,HGNC:17938,Human,DB00363; DB00714; DB00831
P24298,Alanine aminotransferase 1,GPT,1763096,U70732,P24298,ALAT1_HUMAN,,GPT,GPT,HGNC:4552,Human,DB00160; DB00780
P08235,Mineralocorticoid receptor,NR3C2,307166,M16801,P08235,MCR_HUMAN,,NR3C2,NR3C2,HGNC:7979,Human,DB00393; DB00396; DB00421; DB00588; DB00687; DB00700; DB01023; DB01395
P53985,Monocarboxylate transporter 1,SLC16A1,561722,L31801,P53985,MOT1_HUMAN,,SLC16A1,SLC16A1,HGNC:10922,Human,DB00119
P00966,Argininosuccinate synthase,ASS1,28872,X01630,P00966,ASSY_HUMAN,,ASS1,ASS1,HGNC:758,Human,DB00125; DB00128; DB00155; DB00171
P51787,Potassium voltage-gated channel subfamily KQT member 1,KCNQ1,2465531,AF000571,P51787,KCNQ1_HUMAN,,KCNQ1,KCNQ1,HGNC:6294,Human,DB00808; DB01244
Q9UG56,Phosphatidylserine decarboxylase proenzyme,PISD,57997016,AL050371,Q9UG56,PISD_HUMAN,,PISD,PISD,HGNC:8999,Human,DB00144
P20138,Myeloid cell surface antigen CD33,CD33,180098,M23197,P20138,CD33_HUMAN,,CD33,CD33,HGNC:1659,Human,DB00056
Q16671,Anti-Muellerian hormone type-2 receptor,AMHR2,1212944,X89013,Q16671,AMHR2_HUMAN,,AMHR2,AMHR2,HGNC:465,Human,DB00171
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1,4115829,AB022017,Q13131,AAPK1_HUMAN,,PRKAA1,PRKAA1,HGNC:9376,Human,DB00131; DB00171; DB00914
Q16515,Acid-sensing ion channel 2,ACCN1,1256017,U50352,Q16515,ASIC2_HUMAN,,ACCN1,ACCN1,HGNC:99,Human,DB00594
Q06432,Voltage-dependent calcium channel gamma-1 subunit,CACNG1,306473,L07738,Q06432,CCG1_HUMAN,,CACNG1,CACNG1,HGNC:1405,Human,DB00308; DB00343; DB00528; DB00653; DB00898; DB01054; DB04842
Q9Y257,Potassium channel subfamily K member 6,KCNK6,4559312,AF134149,Q9Y257,KCNK6_HUMAN,,KCNK6,KCNK6,HGNC:6281,Human,DB00308; DB00908
P26676,RNA-directed RNA polymerase L,L,61991,X57559,P26676,L_PI2HT,,,,,HPIV-2,DB00811
P16233,Pancreatic triacylglycerol lipase,PNLIP,339597,J05125,P16233,LIPP_HUMAN,,PNLIP,PNLIP,HGNC:9155,Human,DB01083
P04278,Sex hormone-binding globulin,SHBG,296673,X16349,P04278,SHBG_HUMAN,,SHBG,SHBG,HGNC:10839,Human,DB00421
P13843,Fusion glycoprotein F0,F,222565,D00334,P13843,FUS_HRSV1,,,,,Human respiratory syncytial virus B (strain 18537),DB00110
P10827,Thyroid hormone receptor alpha,THRA,825639,X55074,P10827,THA_HUMAN,,THRA,THRA,HGNC:11796,Human,DB00279; DB00451; DB00509; DB01583
O14842,Free fatty acid receptor 1,FFAR1,2612946,AF024687,O14842,FFAR1_HUMAN,,FFAR1,FFAR1,HGNC:4498,Human,DB00159
P05230,Fibroblast growth factor 1,FGF1,181942,M13361,P05230,FGF1_HUMAN,,FGF1,FGF1,HGNC:3665,Human,DB00686; DB01025; DB06589
P50859,Lanosterol 14-alpha demethylase,ERG11,755693,L40389,P50859,CP51_CANGA,,,,,Yeast,DB01167; DB09040
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,179762,M76559,P54289,CA2D1_HUMAN,,CACNA2D1,CACNA2D1,HGNC:1399,Human,DB00270; DB00308; DB00381; DB00401; DB00622; DB00653; DB00996; DB01023; DB01054; DB01115; DB04838; DB06712
P17735,Tyrosine aminotransferase,TAT,36713,X52520,P17735,ATTY_HUMAN,,TAT,TAT,HGNC:11573,Human,DB00120; DB00135
P07550,Beta-2 adrenergic receptor,ADRB2,29371,Y00106,P07550,ADRB2_HUMAN,,ADRB2,ADRB2,HGNC:286,Human,DB00195; DB00221; DB00248; DB00264; DB00335; DB00368; DB00370; DB00373; DB00397; DB00449; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00816; DB00841; DB00852; DB00866; DB00867; DB00871; DB00925; DB00938; DB00960; DB00983; DB01001; DB01064; DB01102; DB01136; DB01151; DB01193; DB01203; DB01210; DB01214; DB01274; DB01288; DB01291; DB01295; DB01359; DB01363; DB01366; DB01407; DB01408; DB01580; DB04846; DB04861; DB05039; DB06216; DB06262; DB08807; DB08808; DB09080
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,182628,M34539,P62942,FKB1A_HUMAN,,FKBP1A,FKBP1A,HGNC:3711,Human,DB00337; DB00864; DB00877
Q8NFJ5,Retinoic acid-induced protein 3,GPRC5A,4063890,AF095448,Q8NFJ5,RAI3_HUMAN,,GPRC5A,GPRC5A,HGNC:9836,Human,DB00755
P11498,"Pyruvate carboxylase, mitochondrial",PC,458236,U04641,P11498,PYC_HUMAN,,PC,PC,HGNC:8636,Human,DB00119; DB00121
Q9NS40,Potassium voltage-gated channel subfamily H member 7,KCNH7,4104136,AF032897,Q9NS40,KCNH7_HUMAN,,KCNH7,KCNH7,HGNC:18863,Human,DB00308; DB00457; DB00590; DB01110; DB01162
Q05932,"Folylpolyglutamate synthase, mitochondrial",FPGS,292029,M98045,Q05932,FOLC_HUMAN,,FPGS,FPGS,HGNC:3824,Human,DB00293
P49589,"Cysteine--tRNA ligase, cytoplasmic",CARS,927229,L06845,P49589,SYCC_HUMAN,,CARS,CARS,HGNC:1493,Human,DB00151
O00763,Acetyl-CoA carboxylase 2,ACACB,2138330,U89344,O00763,ACACB_HUMAN,,ACACB,ACACB,HGNC:85,Human,DB00121; DB00173
O95342,Bile salt export pump,ABCB11,3873243,AF091582,O95342,ABCBB_HUMAN,,ABCB11,ABCB11,HGNC:42,Human,DB00171; DB00845; DB01016
P01375,Tumor necrosis factor,TNF,339741,M16441,P01375,TNFA_HUMAN,,TNF,TNF,HGNC:11892,Human,DB00005; DB00051; DB00065; DB00608; DB00668; DB00852; DB01041; DB01296; DB01407; DB01411; DB01427; DB06674; DB08904; DB08910
Q9Y271,Cysteinyl leukotriene receptor 1,CYSLTR1,5353887,AF119711,Q9Y271,CLTR1_HUMAN,,CYSLTR1,CYSLTR1,HGNC:17451,Human,DB00471; DB00549; DB00587; DB00716; DB01411
